# Students
attendanceNumber,name,furigana,gender,roles
15,く太郎,クタロウ,male,
3,い太郎,イタロウ,male,
28,せ花子,セハナコ,female,
9,お太郎,オタロウ,male,
20,こ花子,コハナコ,female,
1,あ太郎,アタロウ,male,班長
12,か花子,カハナコ,female,副班長
25,す太郎,スタロウ,male,
6,う花子,ウハナコ,female,班長
17,け太郎,ケタロウ,male,副班長
30,そ花子,ソハナコ,female,
4,い花子,イハナコ,female,
22,さ花子,サハナコ,female,副班長
11,か太郎,カタロウ,male,班長
18,け花子,ケハナコ,female,
7,え太郎,エタロウ,male,副班長
24,し花子,シハナコ,female,
13,き太郎,キタロウ,male,
2,あ花子,アハナコ,female,副班長
29,そ太郎,ソタロウ,male,
16,く花子,クハナコ,female,班長
5,う太郎,ウタロウ,male,
26,す花子,スハナコ,female,班長
10,お花子,オハナコ,female,
21,さ太郎,サタロウ,male,班長
8,え花子,エハナコ,female,
27,せ太郎,セタロウ,male,副班長
14,き花子,キハナコ,female,
23,し太郎,シタロウ,male,
19,こ太郎,コタロウ,male,

# Roles
name,iconName,description
班長,Crown,班のリーダー
副班長,Star,班のサブリーダー

# Groups
name,color,description
1班,#FCA5A5,第1グループ
2班,#93C5FD,第2グループ
3班,#86EFAC,第3グループ
4班,#FDE047,第4グループ
5班,#D8B4FE,第5グループ
6班,#FDBA74,第6グループ
前方配慮（視力等）,#5EEAD4,黒板が見えやすい前方の座席を希望する生徒向けグループ

# Constraints
type,isEnabled,json_data
student-student,true,"{""matchType"":""far"",""studentName1"":""あ太郎"",""studentName2"":""あ花子""}"
group-match,true,"{""targetType"":""gender"",""targetName"":""male"",""minCount"":2,""groupNames"":[""1班"",""2班"",""3班"",""4班"",""5班"",""6班""]}"
group-match,true,"{""targetType"":""gender"",""targetName"":""female"",""minCount"":2,""groupNames"":[""1班"",""2班"",""3班"",""4班"",""5班"",""6班""]}"
group-match,true,"{""targetType"":""role"",""targetName"":""班長"",""minCount"":1,""groupNames"":[""1班"",""2班"",""3班"",""4班"",""5班"",""6班""]}"
student-group,true,"{""studentName"":""き花子"",""groupNames"":[""前方配慮（視力等）""],""matchType"":""include""}"
